"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"32","RT @dodomesticdad: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 18:36:53","TRUE","4","0","1","Samsung Galaxy","Austin","USA",TRUE
"33","Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 18:35:11","FALSE","4","0","1","Samsung Galaxy","Austin","USA",FALSE
"34","RT @liveluvtx: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 18:32:29","TRUE","45","0","1","Samsung Galaxy","Austin","USA",TRUE
"35","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 18:31:39","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"36","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 18:31:37","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"37","The Galaxy S9 must fix these three big S8 flaws  ","2017-12-18 18:25:11","FALSE","0","0","-1","Samsung Galaxy","Austin","USA",FALSE
"38","Samsung Galaxy S9 Design Shown Off in Samsungs Soundcamp App  ","2017-12-18 18:23:43","FALSE","0","0","0","Samsung Galaxy","Austin","USA",FALSE
"39","Watch Out iPhone X: Samsung Unleashing New Galaxy S9 In March  ","2017-12-18 18:22:51","FALSE","0","0","0","Samsung Galaxy","Austin","USA",FALSE
"40","The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activati  ","2017-12-18 18:20:43","FALSE","0","0","1","Samsung Galaxy","Austin","USA",TRUE
"41","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 18:19:10","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"42","Top 12 Tech Gifts for 2017: Samsung Galaxy S8  ","2017-12-18 18:15:02","FALSE","0","0","1","Samsung Galaxy","Austin","USA",TRUE
"43","RT @gingercasa1: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 18:07:41","TRUE","5","0","1","Samsung Galaxy","Austin","USA",FALSE
"44","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 18:01:44","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"45","Samsung and LG will show off new phones at CES, report says  ","2017-12-18 17:59:07","FALSE","0","0","0","Samsung Galaxy","Austin","USA",FALSE
"46","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 17:51:31","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"47","Samsung Galaxy S9 Design Shown Off in Samsungs Soundcamp App  ","2017-12-18 17:48:09","FALSE","0","0","0","Samsung Galaxy","Austin","USA",TRUE
"48","Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 17:47:09","FALSE","0","0","1","Samsung Galaxy","Austin","USA",TRUE
"49","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 17:46:50","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"50","RT @liveluvtx: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 17:46:22","TRUE","45","0","1","Samsung Galaxy","Austin","USA",TRUE
"51","Samsung Galaxy S9: What We Know So Far","2017-12-18 17:35:32","FALSE","0","0","0","Samsung Galaxy","Austin","USA",FALSE
"52","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 17:34:51","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"53","Top 12 Tech Gifts for 2017: Samsung Galaxy S8  ","2017-12-18 17:21:36","FALSE","0","0","1","Samsung Galaxy","Austin","USA",TRUE
"54","Top 12 Tech Gifts for 2017: Samsung Galaxy S8  ","2017-12-18 17:19:06","FALSE","0","0","1","Samsung Galaxy","Austin","USA",TRUE
