"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1463","@etherealrae iPhone 8 Plus! @Apple when are we shooting??????????","2017-12-15 20:52:35","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"1464","Wondering if Im the only one whose IPhone apps get slower and battery fades faster with each software update Curious Apple","2017-12-15 20:51:32","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"1465","RT @DigiSlice: Apple has released iOS 11.2.1 update iPhone  ","2017-12-15 20:42:57","TRUE","54","0","0","Apple Iphone","New York","USA",TRUE
"1466","This 8 year old girl across from me at the nail salon getting a mani pedi has an apple watch on... and an iPhone X... absurd","2017-12-15 20:33:30","FALSE","0","7","-1","Apple Iphone","New York","USA",FALSE
"1467","I added a video to a @YouTube playlist  ","2017-12-15 20:31:54","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"1468","I liked a @YouTube video  ","2017-12-15 20:31:43","FALSE","0","0","1","Apple Iphone","New York","USA",TRUE
"1469","I added a video to a @YouTube playlist  ","2017-12-15 20:31:22","FALSE","0","0","0","Apple Iphone","New York","USA",TRUE
"1470","I added a video to a @YouTube playlist  ","2017-12-15 20:30:57","FALSE","0","0","0","Apple Iphone","New York","USA",TRUE
"1471","I added a video to a @YouTube playlist  ","2017-12-15 20:30:29","FALSE","0","0","0","Apple Iphone","New York","USA",TRUE
"1472","RT @laughable: Just released a new version of our iPhone app. Get after it!  ","2017-12-15 20:27:57","TRUE","3","0","-1","Apple Iphone","New York","USA",TRUE
"1473","Stizzy Left Lane Ft Skywalka Flytalka - On The Go  [Prod_ YN Beats]
 ","2017-12-15 20:25:29","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"1474","Just released a new version of our iPhone app. Get after it!  ","2017-12-15 20:16:33","FALSE","3","5","0","Apple Iphone","New York","USA",FALSE
"1475","RT @ProgressOfAKind: What did Icahn do to earn $2 billion in profit in 32 months from apple? 

He never supplied the company with any capit","2017-12-15 20:11:31","TRUE","19","0","0","Apple Iphone","New York","USA",TRUE
"1476","Apple iPhone 5S 16GB ""Factory Unlocked"" 4G LTE iOS Smartphone  | eBay  ","2017-12-15 20:10:31","FALSE","0","0","0","Apple Iphone","New York","USA",TRUE
"1477","You know what makes this article funny? It presumes the Chinese companies and @Apple have the same objectives.  ","2017-12-15 20:04:41","FALSE","0","0","-1","Apple Iphone","New York","USA",FALSE
"1478","RT @ProgressOfAKind: What did Icahn do to earn $2 billion in profit in 32 months from apple? 

He never supplied the company with any capit","2017-12-15 20:03:21","TRUE","19","0","0","Apple Iphone","New York","USA",TRUE
"1479","So your sitten there on your iphone with your apple watch. And then what?","2017-12-15 20:01:39","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"1480","RT @ProgressOfAKind: What did Icahn do to earn $2 billion in profit in 32 months from apple? 

He never supplied the company with any capit","2017-12-15 19:58:24","TRUE","19","0","0","Apple Iphone","New York","USA",TRUE
"1481","RT @ProgressOfAKind: What did Icahn do to earn $2 billion in profit in 32 months from apple? 

He never supplied the company with any capit","2017-12-15 19:57:50","TRUE","19","0","0","Apple Iphone","New York","USA",TRUE
"1482","RT @ProgressOfAKind: What did Icahn do to earn $2 billion in profit in 32 months from apple? 

He never supplied the company with any capit","2017-12-15 19:46:33","TRUE","19","0","0","Apple Iphone","New York","USA",TRUE
"1483","Per Mactracker app: Apple stopped selling the iPhone 6 in September of 2016, with no 32GB option sold

Apple: Quiet  ","2017-12-15 19:42:19","FALSE","0","0","1","Apple Iphone","New York","USA",FALSE
"1484","RT @ProgressOfAKind: What did Icahn do to earn $2 billion in profit in 32 months from apple? 

He never supplied the company with any capit","2017-12-15 19:40:30","TRUE","19","0","0","Apple Iphone","New York","USA",TRUE
"1485","RT @RainmakingColab: Apples website states that your face is your secure password, but what does this mean for the fintech industry? d","2017-12-15 19:30:59","TRUE","2","0","1","Apple Iphone","New York","USA",FALSE
