"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"522","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 22:13:34","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"523","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 22:13:12","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"524","Soon you'll be able to send other iOS users payments through iMessage. InsightPartners  ","2017-12-16 22:00:00","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"525","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:55:49","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"526","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:54:50","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"527","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:52:42","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"528","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 21:50:08","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"529","@Apple hit a HR with this iPhone X!","2017-12-16 21:47:41","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"530","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 21:46:36","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"531","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:45:28","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"532","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:44:01","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"533","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:43:40","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"534","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:43:36","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"535","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:42:40","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"536","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:40:05","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"537","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:39:30","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"538","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:39:01","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"539","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:38:34","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"540","How often do we, as iPhone users, complain about the updates that are happening, and the price for that matter?

Th  ","2017-12-16 21:31:09","FALSE","0","0","-1","Apple Iphone","Austin","USA",FALSE
"541","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:30:48","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"542","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:30:34","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"543","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 21:28:59","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"544","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:28:57","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"545","Companies flourish when they hear their customers.
Apple iPhone users are prisoners to their device. 
As soon as a  ","2017-12-16 21:28:09","FALSE","0","0","1","Apple Iphone","Austin","USA",FALSE
"546","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:27:50","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"547","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 21:25:29","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"548","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:25:07","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"549","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:25:01","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"550","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 21:14:59","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"551","@apple stop sabatoging my autocorrect. We still rocking the iPhone 6. You cannot force me to buy an iPhone X. WE WILL OVERCOME ","2017-12-16 21:13:23","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"552","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 21:12:53","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
