"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1605","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 13:11:56","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1606","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 13:11:40","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1607","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 12:51:45","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1608","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 12:48:50","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1609","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 12:42:07","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1610","KMASHI External Battery Power Bank, Portable Charger Backup Pack for iPhone 6s 6 Plus, iP  ","2017-12-11 12:41:37","FALSE","0","0","1","Samsung Galaxy","Seattle","USA",FALSE
"1611","Samsung Galaxy A8 Plus (2018) Leaks In New Hands-On Video  ","2017-12-11 12:13:11","FALSE","0","0","-1","Samsung Galaxy","Seattle","USA",FALSE
"1612","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 12:10:45","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1613","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 12:03:39","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1614","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 11:38:27","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1615","Samsung Galaxy S9 To Boast A New High-End Iris Scanner: Rumor  ","2017-12-11 11:36:14","FALSE","0","0","-1","Samsung Galaxy","Seattle","USA",FALSE
"1616","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 11:31:01","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1617","RT @SusieQpon: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-11 11:21:28","TRUE","138","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1618","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 11:20:13","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1619","Samsung To Launch Dual-SIM Galaxy S9 Models: Report  ","2017-12-11 11:12:12","FALSE","0","0","0","Samsung Galaxy","Seattle","USA",FALSE
"1620","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 11:11:21","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1621","Samsung Galaxy A8+ 2018: Hands-on video, manual reveal all  ","2017-12-11 11:08:10","FALSE","0","0","0","Samsung Galaxy","Seattle","USA",FALSE
"1622","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 11:05:12","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1623","RT @SusieQpon: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-11 10:42:30","TRUE","138","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1624","Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family  ","2017-12-11 10:36:39","FALSE","324","80","1","Samsung Galaxy","Seattle","USA",FALSE
"1625","Samsung Galaxy S9, S9+ tipped to boast a 3MP iris scanner for improved iris recognition  ","2017-12-11 09:18:10","FALSE","0","0","1","Samsung Galaxy","Seattle","USA",FALSE
"1626","AT&amp;T rolls out new update to Samsung Galaxy S8/S8+, see all the new changes  ","2017-12-11 08:25:07","FALSE","0","0","0","Samsung Galaxy","Seattle","USA",FALSE
"1627","RT @SusieQpon: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-11 06:58:16","TRUE","138","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1628","Samsung Galaxy Tab S2 8.0 T715 32GB 4G LTE Tablet - Gold  ","2017-12-11 06:36:55","FALSE","0","0","1","Samsung Galaxy","Seattle","USA",FALSE
"1629","I added a video to a @YouTube playlist  ","2017-12-11 06:26:14","FALSE","0","0","0","Samsung Galaxy","Seattle","USA",TRUE
